created_date,meter_id,heat_quantity,heat_quantity_type,cost_center,monthly_difference
2024-01-31,15059121,6740,Water,Building,
2024-02-29,15059121,7388,Water,Building,648.0
2024-03-31,15059121,8051,Water,Building,663.0
2024-04-30,15059121,8696,Water,Building,645.0
2024-05-31,15059121,9343,Water,Building,647.0
2024-06-30,15059121,9842,Water,Building,499.0
2024-07-31,15059121,10353,Water,Building,511.0
2024-08-31,15059121,10827,Water,Building,474.0
2024-09-30,15059121,11191,Water,Building,364.0
2024-10-31,15059121,11714,Water,Building,523.0
2024-11-30,15059121,12238,Water,Building,524.0
2024-12-31,15059121,12829,Water,Building,591.0
